ID,Orbifold,IUC,Example Path
0,o,p1,resources/patterns/png/o.png
1,2222,p2,resources/patterns/png/2222.png
2,xx,pg,resources/patterns/png/xx.png
3,**,pm,resources/patterns/png/ss.png
4,*x,cm,resources/patterns/png/sx.png
5,22x,pgg,resources/patterns/png/22x.png
6,22*,pmg,resources/patterns/png/22s.png
7,*2222,pmm,resources/patterns/png/s2222.png
8,2*22,cmm,resources/patterns/png/2s22.png
9,442,p4,resources/patterns/png/442.png
10,4*2,p4g,resources/patterns/png/4s2.png
11,*442,p4m,resources/patterns/png/s442.png
12,333,p3,resources/patterns/png/333.png
13,*333,p3m1,resources/patterns/png/s333.png
14,3*3,p31m,resources/patterns/png/3s3.png
15,632,p6,resources/patterns/png/632.png
16,*632,p6m,resources/patterns/png/s632.png
